Frame,Prediction,Confidence,FPS
194,crocodile,0.9885,0.83
195,crocodile,0.9947,0.76
196,crocodile,0.9951,0.88
197,crocodile,0.9918,0.79
198,crocodile,0.9978,0.84
199,crocodile,0.9926,0.84
200,crocodile,0.9938,0.84
201,crocodile,0.993,0.73
202,crocodile,0.9961,0.88
203,crocodile,0.9986,0.77
204,crocodile,0.9987,0.84
205,crocodile,0.9977,0.87
206,crocodile,0.999,0.86
207,crocodile,0.9989,0.71
208,crocodile,0.9993,0.85
209,crocodile,0.9967,0.76
210,crocodile,0.9982,0.89
211,crocodile,0.9981,0.82
212,crocodile,0.9988,0.87
213,crocodile,0.9986,0.88
214,crocodile,0.9994,0.85
215,crocodile,0.9983,0.7
216,crocodile,0.9978,0.86
217,crocodile,0.9985,0.85
218,crocodile,0.9824,0.85
219,crocodile,0.9915,0.81
220,crocodile,0.9895,0.75
221,crocodile,0.9935,0.89
222,crocodile,0.9993,0.88
223,crocodile,0.9973,0.87
224,crocodile,0.9987,0.82
225,crocodile,0.997,0.83
226,crocodile,0.9992,0.84
227,crocodile,0.9958,0.88
228,crocodile,0.9963,0.65
229,crocodile,0.9944,0.86
230,crocodile,0.9953,0.82
231,crocodile,0.9953,0.72
232,crocodile,0.9979,0.88
233,crocodile,0.9957,0.86
234,crocodile,0.9853,0.8
235,crocodile,0.996,0.76
236,crocodile,0.9937,0.83
237,crocodile,0.9973,0.79
238,crocodile,0.9973,0.76
239,crocodile,0.997,0.89
240,crocodile,0.9968,0.79
241,crocodile,0.9973,0.86
242,crocodile,0.9976,0.77
243,crocodile,0.9962,0.9
244,crocodile,0.9979,0.83
245,crocodile,0.9976,0.87
246,crocodile,0.9952,0.86
247,crocodile,0.9943,0.77
248,crocodile,0.9965,0.88
249,crocodile,0.9967,0.82
250,crocodile,0.9917,0.86
251,crocodile,0.989,0.86
252,crocodile,0.9708,0.87
253,crocodile,0.9767,0.77
254,crocodile,0.9839,0.89
255,crocodile,0.9795,0.87
256,crocodile,0.973,0.87
257,crocodile,0.9783,0.81
258,crocodile,0.9407,0.77
259,crocodile,0.9575,0.89
260,crocodile,0.9557,0.88
261,crocodile,0.9729,0.78
